,category_code,crunchbase_url,description,homepage_url,image,name,namespace,offices,overview,permalink
0,messaging,http://www.crunchbase.com/company/emu-chat,Smart Chat,http://emu.is,"{u'available_sizes': [[[150, 150], u'assets/images/resized/0034/6268/346268v1-max-150x150.png'], [[250, 250], u'assets/images/resized/0034/6268/346268v1-max-250x250.png'], [[450, 450], u'assets/images/resized/0034/6268/346268v1-max-450x450.png']], u'attribution': None}",Emu Messenger,company,"[{u'city': u'Palo Alto', u'description': u'Emu HQ', u'address1': u'', u'address2': u'', u'longitude': -122.1430195, u'country_code': u'USA', u'latitude': 37.4418834, u'state_code': u'CA', u'zip_code': u''}]","Emu is a messaging app for Android with a built-in assistant, offering information and suggestions based on your conversations - movies, restaurants, snapshots of your calendar. Share your location live with Marco Polo. Send messages on the go with Push to Talk. Get contextual reminders with Snooze. All over SMS.

Emu was founded in 2012 by Gummi Hafsteinsson (formerly VP Product Siri, and previously at Apple and Google), Dave Feldman (previously with AOL/TechCrunch and Yahoo!), and an experienced team of mobile and machine-learning engineers. The company has received seed funding of $1.5M to date from Kleiner Perkins, TriplePoint Capital, Menlo Ventures, DFJ, and additional angel investors.",emu-chat
1,enterprise,http://www.crunchbase.com/company/onetouch,Sorting the world's documents,http://www.one-touch.co,"{u'available_sizes': [[[150, 90], u'assets/images/resized/0025/6657/256657v2-max-150x150.png'], [[250, 151], u'assets/images/resized/0025/6657/256657v2-max-250x250.png'], [[450, 272], u'assets/images/resized/0025/6657/256657v2-max-450x450.png']], u'attribution': None}",OneTouch,company,"[{u'city': u'Melbourne', u'description': u'', u'address1': u'', u'address2': u'', u'longitude': 144.96328, u'country_code': u'AUS', u'latitude': -37.814107, u'state_code': None, u'zip_code': u''}]","OneTouch is a cloud-based platform that automates document processing using OCR and natural language processing.

Customers simply upload their business documents; our software will then identify the document and then run a variety of automated processes, such as document re-labelling, splitting, as well as extracting, redacting and repurposing relevant data. Our software incorporates a machine-learning algorithm which improves over time with increased adoption. ",onetouch
2,medical,http://www.crunchbase.com/company/med-nexus,Medical content recommendations,https://www.mednexusinc.com,"{u'available_sizes': [[[150, 56], u'assets/images/resized/0027/2088/272088v5-max-150x150.png'], [[250, 93], u'assets/images/resized/0027/2088/272088v5-max-250x250.png'], [[400, 150], u'assets/images/resized/0027/2088/272088v5-max-450x450.png']], u'attribution': None}",Med Nexus,company,"[{u'city': u'NEW YORK', u'description': u'', u'address1': u'419 LAFAYETTE ST.', u'address2': u'FLOOR 2', u'longitude': -73.9921558, u'country_code': u'USA', u'latitude': 40.7286596, u'state_code': u'NY', u'zip_code': u'10003'}]","Med Nexus is a medical content recommendation platform for Physicians that delivers the most clinically relevant content, and provides reading recommendations personalized to each user. This will help inform physicians of new medical advances and facilitate their Continuing Medical Education.

Unlike current informational tools, the platform will utilize machine-learning methods supported by web-based metrics to sort and model the impact of research findings, making our process quicker, more scalable and all around more powerful.",med-nexus
3,web,http://www.crunchbase.com/company/theneeds,Discover the best online content for you,http://www.theneeds.com,"{u'available_sizes': [[[134, 29], u'assets/images/resized/0028/4526/284526v2-max-150x150.png'], [[134, 29], u'assets/images/resized/0028/4526/284526v2-max-250x250.png'], [[134, 29], u'assets/images/resized/0028/4526/284526v2-max-450x450.png']], u'attribution': None}",Theneeds,company,"[{u'city': u'San Francisco', u'description': u'HQ', u'address1': u'181 Fremont', u'address2': u'', u'longitude': None, u'country_code': u'USA', u'latitude': None, u'state_code': u'CA', u'zip_code': u'94105'}]","Theneeds platform helps users discover the best digital content and services, on the web and on mobile. Theneeds' filters and organizes content and services individually tailored to each user. Everything you do online is now in one place:

theneeds brings you both content and services: catch up on the latest news and articles or access the best services for all your needs.

theneeds is your personalized web: our technology learns from your actions to get smarter and smarter, making your web easier and more tailored to your interests.

theneeds lets you consume or contribute: see content from the best sources, including from people just like you - suggest the best for others to discover or discuss your passions.

theneeds is community-powered: individuals are best at curating what matters most - vote on what you see to help surface the best, for more quality and less noise.

Technology is the driving force behind Theneeds. The platform is powered by a robust machine-learning engine with 2 patent-pending ranking algorithms that listen to and learn from users' activity. The company, which includes executives from Google, Microsoft, and Accenture, is one of the latest RocketSpace startups - the same San Francisco accelerator that helped launch Uber and Zappos.",theneeds
4,software,http://www.crunchbase.com/company/infermedica,Artificial intelligence in medicine,http://infermedica.com,"{u'available_sizes': [[[145, 150], u'assets/images/resized/0033/3897/333897v2-max-150x150.png'], [[243, 250], u'assets/images/resized/0033/3897/333897v2-max-250x250.png'], [[290, 298], u'assets/images/resized/0033/3897/333897v2-max-450x450.png']], u'attribution': None}",Infermedica,company,[],"Infermedica specialize in the field of artificial intelligence, including expert systems, data-mining, machine-learning, and diagnostic inference.

Infermedica develops two software products based on their medical expert system technology:

DxMate is the latest medical decision support system. The purpose of the tool is to inspire physicians to expand their differential diagnosis by suggesting alternative conditions. DxMate can also assist in selecting further diagnostic steps by providing symptoms and laboratory tests relevant to the suspected condition. The medical database used in DxMate is developed by a team of professional primary care physicians.

Symptomate.com is a website dedicated to self-diagnosis and preventive medicine. Via the website, Internet users can obtain preliminary information regarding potential conditions, and then make an appointment with a suitable physician. The main element of the website is an intelligent system for diagnosing illnesses online that indicates potential conditions based on information provided by the user.",infermedica
5,education,http://www.crunchbase.com/company/knewton,Adaptive Learning Platform,http://www.knewton.com/,"{u'available_sizes': [[[134, 150], u'assets/images/resized/0001/9086/19086v8-max-150x150.jpg'], [[224, 250], u'assets/images/resized/0001/9086/19086v8-max-250x250.jpg'], [[377, 419], u'assets/images/resized/0001/9086/19086v8-max-450x450.jpg']], u'attribution': None}",Knewton,company,"[{u'city': u'New York', u'description': u'', u'address1': u'100 5th Avenue', u'address2': u'8th Floor', u'longitude': -74.0078134, u'country_code': u'USA', u'latitude': 40.7310476, u'state_code': u'NY', u'zip_code': u'10011'}]","Knewton is the world’s leading adaptive learning technology provider with the mission of bringing personalized education to the world. The Knewton platform makes it possible for anyone to build applications that provide real-time proficiency estimation, activity recommendations, analytics, and more. The world’s largest and most innovative learning companies use Knewton technology to improve learning outcomes in K–12, higher education, English language teaching, corporate training, and other markets. Knewton has been recognized globally as a “Technology Pioneer” (World Economic Forum in Davos) and one of the world’s “50 Most Innovative Companies” (Fast Company). ",knewton
6,mobile,http://www.crunchbase.com/company/sense-networks,Mobile location advertising,http://www.sensenetworks.com,"{u'available_sizes': [[[150, 25], u'assets/images/resized/0002/0103/20103v1-max-150x150.png'], [[250, 42], u'assets/images/resized/0002/0103/20103v1-max-250x250.png'], [[265, 45], u'assets/images/resized/0002/0103/20103v1-max-450x450.png']], u'attribution': None}",Sense Networks,company,"[{u'city': u'New York City', u'description': u'', u'address1': u'1123 Broadway', u'address2': u'Suite 817', u'longitude': -73.999636, u'country_code': u'USA', u'latitude': 40.724647, u'state_code': u'NY', u'zip_code': u'10010'}]","Sense Networks applies big science to mobile location data for predictive analytics in advertising.
 
The company’s technology platform, MacroSense®, builds proprietary mobile user profiles which incorporate over 1,000 behavioral attributes that are extracted from location data. MacroSense receives streaming location data from mobile phones in real-time, processes the data in the context of billions of historical data points, and analyzes it to better understand human activity and apply the insights to mobile advertising.
 
 MacroSense currently processes 170 billion location points per month into profiles. More than any company other than Google or Facebook.
 
Sense’s AdMatch™ real-time bidding ad platform targets and serves the ads through mobile ad exchanges, acting as a Demand Side Platform (DSP) with brand and agency clients. The integration of rich MacroSense profiles provides a built in Data Management Platform (DMP) to deliver extremely sophisticated and effective mobile ad targeting “beyond place.”

Sense Networks was founded in 2003 and incorporated in early 2006. The founding team is composed of top computer scientists from MIT and Columbia University.
 
Sense Networks won the 2009 AlwaysOn OnMedia Top 100 Award,  was named by Gartner as one of its 2009 Cool Vendors in Context-Aware Computing, and was proclaimed one of “The World’s Most Intriguing Startups” by Business Week. CEO David Petersen has been featured by Forbes magazine in their series of Forbes Insights profiles of Thought Leaders changing the business landscape.
",sense-networks
7,software,http://www.crunchbase.com/company/manas-technology-solutions,,http://www.manas.com.ar,"{u'available_sizes': [[[150, 40], u'assets/images/resized/0002/3183/23183v2-max-150x150.png'], [[206, 56], u'assets/images/resized/0002/3183/23183v2-max-250x250.png'], [[206, 56], u'assets/images/resized/0002/3183/23183v2-max-450x450.png']], u'attribution': None}",Manas Technology Solutions,company,"[{u'city': u'Olivos', u'description': u'', u'address1': u'Corrientes 598 - Of. 23', u'address2': u'', u'longitude': None, u'country_code': u'ARG', u'latitude': None, u'state_code': None, u'zip_code': u'B1636GEJ'}]","Manas is an IT company committed to the development of innovative and creative high-end business systems. 

Manas specializes in technical and scientific software solutions, and its experience includes a wide range of fields, with a special emphasis on data mining, information retrieval and visualization, GIS and signals/images processing.",manas-technology-solutions
8,music,http://www.crunchbase.com/company/band-metrics,Analytics For The Music Industry,http://bandmetrics.com,"{u'available_sizes': [[[150, 89], u'assets/images/resized/0002/4820/24820v2-max-150x150.jpg'], [[250, 149], u'assets/images/resized/0002/4820/24820v2-max-250x250.jpg'], [[450, 269], u'assets/images/resized/0002/4820/24820v2-max-450x450.jpg']], u'attribution': None}",Band Metrics,company,"[{u'city': u'Atlanta', u'description': u'', u'address1': u'P.O. Box 250672', u'address2': u'', u'longitude': -84.3884, u'country_code': u'USA', u'latitude': 33.7486, u'state_code': u'GA', u'zip_code': u'30325'}]","Headquartered in Atlanta, GA, Band Metrics provides a first-of-its-kind semantic web application for the music industry that collects, analyzes and displays dynamic popularity and trends about musicians and bands. The company's real-time music intelligence is achieved through its patent pending technology which assists artists in understanding their fans, while also helping to manage their digital identity. For more information, please visit: http://bandmetrics.com.",band-metrics
9,software,http://www.crunchbase.com/company/beliefnetworks,,http://beliefnetworks.net,"{u'available_sizes': [[[150, 32], u'assets/images/resized/0003/2316/32316v1-max-150x150.png'], [[250, 54], u'assets/images/resized/0003/2316/32316v1-max-250x250.png'], [[450, 97], u'assets/images/resized/0003/2316/32316v1-max-450x450.png']], u'attribution': None}",BeliefNetworks,company,"[{u'city': u'Charleston', u'description': u'Headquarters', u'address1': u'1243 Savannah Highway', u'address2': u'', u'longitude': -79.999591, u'country_code': u'USA', u'latitude': 32.783932, u'state_code': u'SC', u'zip_code': u'29403'}, {u'city': u'New York', u'description': u'Biz Dev & Sales', u'address1': u'162 Madison Ave.', u'address2': u'', u'longitude': -73.983926, u'country_code': u'USA', u'latitude': 40.746944, u'state_code': u'NY', u'zip_code': u'10016'}]","
BeliefNetworks applies semantic intelligence and predictive analytics to provide web publishers, bloggers and their consumers with convenient access to related content in real time, such as news, videos, music and images, to drive higher consumer engagement, return visits, and time on site for ad revenue lift.
Specialties
Semantic Intelligence, semantic search, predictive analytics, machine learning, data mining, related content, advertising",beliefnetworks
0,software,http://www.crunchbase.com/company/ami-software,,http://www.amisw.com,"{u'available_sizes': [[[150, 60], u'assets/images/resized/0003/4039/34039v2-max-150x150.jpg'], [[250, 100], u'assets/images/resized/0003/4039/34039v2-max-250x250.jpg'], [[450, 180], u'assets/images/resized/0003/4039/34039v2-max-450x450.jpg']], u'attribution': None}",AMI Software,company,"[{u'city': u'Cambridge', u'description': u'Cambridge office (UK)', u'address1': u'50 St John's Innovation Centre', u'address2': u'Cowley Road', u'longitude': None, u'country_code': u'GBR', u'latitude': None, u'state_code': None, u'zip_code': u'CB4 0WS'}]","AMI develops information retrieval and content processing solutions designed to access and capitalise fully on the value of online information.

AMI Enterprise Intelligenceâ„¢ provides a suite of applications to Search, Collect, Publish, Share, Visualise and Personalise all types of information from all types of source. 

AMI is used by organisations to develop far reaching insight into and assessment of the markets in which they operate, identify early warning signs, mitigate risk, manage reputation and maintain competitive advantage.

AMI stands for Automatic Meaning Interpreter and was formed in 1999. The company is headquartered in Paris with UK operations based in Cambridge. 

The companyâ€˜s products are used by organisations of all sizes across multiple vertical markets including Manufacturing, Telco, Aerospace, Defence, Utility, Security and Public sector regulatory bodies.
",ami-software
1,music,http://www.crunchbase.com/company/musicmetric,Music trend analytics,http://www.musicmetric.com,"{u'available_sizes': [[[150, 23], u'assets/images/resized/0003/9980/39980v2-max-150x150.png'], [[250, 39], u'assets/images/resized/0003/9980/39980v2-max-250x250.png'], [[450, 71], u'assets/images/resized/0003/9980/39980v2-max-450x450.png']], u'attribution': None}",Musicmetric,company,"[{u'city': u'London', u'description': u'Head Office', u'address1': u'176-179 Shoreditch High Street', u'address2': u'', u'longitude': -0.0856982, u'country_code': u'GBR', u'latitude': 51.5253765, u'state_code': None, u'zip_code': u'E1 6HP'}]","Musicmetric offers detailed analytics and trend forecasting for the music industry. 

Musicmetric is creating software tools and services using machine learning algorithms designed to measure online buzz and deliver relevant analytics.  Their tools enable deep analysis of marketing performance, designed to add efficiency and accurate campaign targeting.  Additionally, their software offers predictive trend forecasting for artists, genres and sales within the mainstream label, indie and unsigned sectors of the music industry.  

The company processes terabytes of raw text daily and performs data mining and classification analysis to generate the data which powers its software products.  It is also releasing a suite of free widgets powered by the data generated in the back end, as well as opening an API to allow third parties to build applications on top of the musicmetric data.

The customer base includes labels, A&R, managers, promoters and marketing agencies.
",musicmetric
2,enterprise,http://www.crunchbase.com/company/adaptive-semantics,building custom machine learning product,http://adaptivesemantics.com,"{u'available_sizes': [[[150, 65], u'assets/images/resized/0005/1181/51181v2-max-150x150.jpg'], [[239, 104], u'assets/images/resized/0005/1181/51181v2-max-250x250.jpg'], [[239, 104], u'assets/images/resized/0005/1181/51181v2-max-450x450.jpg']], u'attribution': None}",Adaptive Semantics,company,[],"Adaptive Semantics builds custom machine learning products for enterprise clients. 

ASI specializes in moderation and management solutions for user generated content, like blog comments. The company's first product is JuLiA (Just a Linguistic Algorithm), an automated comment moderation solution for blogs and online publications. JuLiA uses sentiment analysis and natural language processing methods to detect abusiveness in text, and automates the moderation process.

JuLiA is a flexible system that can be customized for online publishers' and social networks' community standards, and for purposes other than content moderation. ",adaptive-semantics
3,web,http://www.crunchbase.com/company/topikality,Continuous Discovery and Sharing,http://www.topikality.com,"{u'available_sizes': [[[150, 31], u'assets/images/resized/0005/9494/59494v2-max-150x150.png'], [[250, 52], u'assets/images/resized/0005/9494/59494v2-max-250x250.png'], [[336, 70], u'assets/images/resized/0005/9494/59494v2-max-450x450.png']], u'attribution': None}",topikality,company,"[{u'city': u'Sydney', u'description': u'Head Office', u'address1': u'', u'address2': u'', u'longitude': 151.207114, u'country_code': u'AUS', u'latitude': -33.867139, u'state_code': None, u'zip_code': u'2000'}]","topikality is a new online tool for continuous discovery.

topikality learns what information the user likes and dislikes, continuously discovers the internet to find relevant articles and delivers a daily digest to read. The more you use the system the better it gets.

The user avoids having to wade through dozens of articles to find what's relevant or missing out because they weren't subscribed to the right blog.

topikalityâ€™s Statistical Machine Learning technology analyses hundreds of articleâ€™s features, and draws comparisons against previous articles that you liked (and didnâ€™t like) â€“ looking for trends. So unlike a Google Alert, it doesnâ€™t just consider whether you like or dislike the topik subject. It actually considers things like the words and phrases throughout the whole article. Unlike popularity based systems, it is only interested in what the individual likes and dislikes.

It is a simpler, quicker way to stay up-to-date on all the things we need to earn a living. ",topikality
